created_at,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-05-02 09:21:52+02:00,1060,3672,4.12300,0,,,,
2023-05-02 10:36:30+02:00,1053,3648,4.12500,24,,,,
2023-05-02 15:20:29+02:00,1045,3620,4.12300,52,,,,
2023-05-02 18:04:49+02:00,1035,3585,4.12600,87,,,,
2023-05-02 18:19:52+02:00,1028,3561,4.12300,111,,,,
2023-05-03 10:15:55+02:00,1020,3533,4.12100,139,,,,
2023-05-03 10:31:01+02:00,1013,3509,4.11800,163,,,,
2023-05-03 12:30:43+02:00,1006,3485,4.12000,187,,,,
2023-05-03 13:30:36+02:00,996,3450,4.12100,222,,,,
2023-05-03 13:45:39+02:00,986,3416,4.12000,256,,,,
2023-05-03 15:15:21+02:00,979,3391,4.12300,281,,,,
2023-05-03 17:44:44+02:00,970,3360,4.12300,312,,,,
2023-05-04 11:25:18+02:00,955,3308,4.12000,364,,,,
2023-05-04 13:09:59+02:00,948,3284,4.12100,388,,,,
2023-05-04 18:38:51+02:00,947,3280,4.11800,391,,,,
2023-05-04 21:23:08+02:00,939,3253,4.12000,419,,,,
2023-05-04 22:52:54+02:00,946,3277,4.12100,419,,,,
2023-05-05 05:36:11+02:00,939,3253,4.11700,443,,,,
2023-05-05 10:35:06+02:00,929,3218,4.11800,478,,,,
2023-05-05 10:50:05+02:00,937,3246,4.11700,478,,,,
2023-05-05 11:05:03+02:00,922,3194,4.11700,530,,,,
2023-05-05 11:20:01+02:00,915,3170,4.11800,554,,,,
2023-05-05 13:19:34+02:00,901,3121,4.11800,603,,,,
2023-05-05 13:34:32+02:00,893,3093,4.11800,630,,,,
2023-05-05 13:49:30+02:00,900,3118,4.11800,630,,,,
2023-05-05 16:04:00+02:00,893,3093,4.11800,655,,,,
2023-05-06 08:44:53+02:00,880,3048,4.11700,700,,,,
2023-05-06 10:14:34+02:00,873,3024,4.11700,724,,,,
2023-05-06 10:44:29+02:00,864,2993,4.11700,755,,,,
2023-05-06 11:59:15+02:00,857,2969,4.11700,779,,,,
2023-05-06 12:59:05+02:00,850,2944,4.11700,804,,,,
2023-05-06 14:28:53+02:00,832,2882,4.11700,866,,,,
2023-05-06 15:13:44+02:00,823,2851,4.11700,897,,,,
2023-05-06 15:43:39+02:00,816,2827,4.11700,921,,,,
2023-05-06 16:28:29+02:00,807,2795,4.11800,953,,,,
2023-05-06 16:43:27+02:00,794,2750,4.11700,998,,,,
2023-05-07 09:54:13+02:00,784,2716,4.11500,1032,,,,
2023-05-07 10:54:01+02:00,776,2688,4.11500,1060,,,,
2023-05-07 12:08:50+02:00,767,2657,4.11700,1091,,,,
2023-05-07 17:37:31+02:00,760,2633,4.11700,1115,,,,
2023-05-08 11:33:10+02:00,751,2601,4.11500,1147,,,,
2023-05-08 13:17:52+02:00,743,2574,4.11500,1174,,,,
2023-05-08 17:46:51+02:00,735,2546,4.11500,1202,,,,
2023-05-08 19:46:19+02:00,722,2501,4.11500,1247,,,,
2023-05-09 10:42:34+02:00,730,2529,4.11500,1247,,,,
2023-05-09 11:27:27+02:00,738,2556,4.11500,1247,,,,
2023-05-09 11:57:22+02:00,748,2591,4.11500,1247,,,,
2023-05-09 12:42:19+02:00,757,2622,4.11300,1247,,,,
2023-05-09 13:12:15+02:00,766,2653,4.11300,1247,,,,
2023-05-09 13:42:10+02:00,778,2695,4.11300,1247,,,,
2023-05-09 14:12:05+02:00,794,2750,4.11500,1247,,,,
2023-05-09 14:42:00+02:00,804,2785,4.11500,1247,,,,
2023-05-09 14:57:02+02:00,811,2809,4.11300,1247,,,,
2023-05-09 15:26:58+02:00,820,2840,4.11300,1247,,,,
2023-05-09 15:41:56+02:00,827,2865,4.11300,1247,,,,
2023-05-09 16:26:46+02:00,839,2906,4.11500,1247,,,,
2023-05-09 16:41:45+02:00,853,2955,4.11300,1247,,,,
2023-05-09 16:56:45+02:00,866,3000,4.11200,1247,,,,
2023-05-09 17:11:43+02:00,875,3031,4.11300,1247,,,,
2023-05-09 17:26:41+02:00,884,3062,4.11300,1247,,,,
2023-05-09 17:41:42+02:00,892,3090,4.11300,1247,,,,
2023-05-09 18:26:33+02:00,900,3118,4.11300,1247,,,,
2023-05-09 18:56:42+02:00,904,3131,4.11300,1247,,,,
2023-05-09 19:41:33+02:00,911,3156,4.11300,1247,,,,
2023-05-09 23:40:35+02:00,928,3215,4.11300,1247,,,,
2023-05-10 00:40:22+02:00,936,3242,4.11300,1247,,,,
2023-05-10 01:10:17+02:00,945,3273,4.11200,1247,,,,
2023-05-10 04:09:34+02:00,952,3298,4.11200,1247,,,,
2023-05-10 11:37:47+02:00,927,3211,4.11200,1334,,,,
2023-05-11 09:02:35+02:00,919,3183,4.11000,1361,,,,
2023-05-11 10:32:15+02:00,912,3159,4.11000,1386,,,,
2023-05-11 12:46:49+02:00,900,3118,4.11000,1427,,,,
2023-05-11 16:01:06+02:00,893,3093,4.11000,1451,,,,
2023-05-12 06:27:32+02:00,903,3128,4.10900,1451,,,,
2023-05-12 07:27:20+02:00,916,3173,4.11000,1451,,,,
2023-05-12 08:42:04+02:00,923,3197,4.10900,1451,,,,
2023-05-12 09:26:55+02:00,937,3246,4.11000,1451,,,,
2023-05-12 10:11:47+02:00,926,3208,4.11000,1490,,,,
2023-05-12 10:56:39+02:00,936,3242,4.11000,1490,,,,
2023-05-12 11:26:34+02:00,927,3211,4.10700,1521,,,,
2023-05-12 11:56:33+02:00,936,3242,4.10900,1521,,,,
2023-05-12 16:10:36+02:00,929,3218,4.11000,1545,,,,
2023-05-12 17:40:16+02:00,941,3260,4.10900,1545,,,,
2023-05-12 17:55:14+02:00,956,3312,4.10900,1545,,,,
2023-05-13 10:51:05+02:00,947,3280,4.10700,1576,,,,
2023-05-13 15:50:04+02:00,939,3253,4.10700,1604,,,,
2023-05-13 22:33:17+02:00,930,3222,4.10700,1635,,,,
2023-05-14 12:59:52+02:00,914,3166,4.10500,1690,,,,
2023-05-14 17:43:47+02:00,906,3138,4.10200,1718,,,,
2023-05-15 07:55:10+02:00,899,3114,4.10100,1742,,,,
2023-05-15 13:38:57+02:00,892,3090,4.10200,1767,,,,
2023-05-16 10:33:41+02:00,878,3041,4.09900,1815,,,,
2023-05-16 12:33:17+02:00,870,3014,4.10100,1843,,,,
2023-05-16 15:32:38+02:00,863,2989,4.10200,1867,,,,
2023-05-17 08:43:20+02:00,856,2965,4.09900,1891,,,,
2023-05-17 16:11:45+02:00,849,2941,4.10100,1916,,,,
2023-05-18 10:22:09+02:00,835,2892,4.09600,1964,,,,
2023-05-18 10:37:08+02:00,828,2868,4.09400,1988,,,,
2023-05-18 13:21:40+02:00,821,2844,4.09800,2013,,,,
2023-05-18 22:19:28+02:00,814,2820,4.09800,2037,,,,
2023-05-19 11:16:19+02:00,806,2792,4.09400,2065,,,,
2023-05-19 11:46:16+02:00,797,2761,4.09400,2096,,,,
2023-05-19 15:30:34+02:00,783,2712,4.09600,2144,,,,
2023-05-20 10:55:38+02:00,776,2688,4.09300,2168,,,,
2023-05-20 13:40:08+02:00,768,2660,4.09400,2196,,,,
2023-05-20 18:09:05+02:00,761,2636,4.09400,2220,,,,
2023-05-21 09:50:03+02:00,751,2601,4.09300,2255,,,,
2023-05-21 15:03:59+02:00,743,2574,4.09400,2283,,,,
2023-05-21 16:33:39+02:00,733,2539,4.09400,2317,,,,
2023-05-22 08:59:27+02:00,726,2515,4.09300,2342,,,,
