created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-05-02T09:21:52+02:00,1,1060,3672,4.12300,0,,,,
2023-05-02T10:36:30+02:00,2,1053,3648,4.12500,24,,,,
2023-05-02T15:20:29+02:00,3,1045,3620,4.12300,52,,,,
2023-05-02T18:04:49+02:00,4,1035,3585,4.12600,87,,,,
2023-05-02T18:19:52+02:00,5,1028,3561,4.12300,111,,,,
2023-05-03T10:15:55+02:00,6,1020,3533,4.12100,139,,,,
2023-05-03T10:31:01+02:00,7,1013,3509,4.11800,163,,,,
2023-05-03T12:30:43+02:00,8,1006,3485,4.12000,187,,,,
2023-05-03T13:30:36+02:00,9,996,3450,4.12100,222,,,,
2023-05-03T13:45:39+02:00,10,986,3416,4.12000,256,,,,
2023-05-03T15:15:21+02:00,11,979,3391,4.12300,281,,,,
2023-05-03T17:44:44+02:00,12,970,3360,4.12300,312,,,,
2023-05-04T11:25:18+02:00,13,955,3308,4.12000,364,,,,
2023-05-04T13:09:59+02:00,14,948,3284,4.12100,388,,,,
2023-05-04T18:38:51+02:00,15,947,3280,4.11800,391,,,,
2023-05-04T21:23:08+02:00,16,939,3253,4.12000,419,,,,
2023-05-04T22:52:54+02:00,17,946,3277,4.12100,419,,,,
2023-05-05T05:36:11+02:00,18,939,3253,4.11700,443,,,,
2023-05-05T10:35:06+02:00,19,929,3218,4.11800,478,,,,
2023-05-05T10:50:05+02:00,20,937,3246,4.11700,478,,,,
2023-05-05T11:05:03+02:00,21,922,3194,4.11700,530,,,,
2023-05-05T11:20:01+02:00,22,915,3170,4.11800,554,,,,
2023-05-05T13:19:34+02:00,23,901,3121,4.11800,603,,,,
2023-05-05T13:34:32+02:00,24,893,3093,4.11800,630,,,,
2023-05-05T13:49:30+02:00,25,900,3118,4.11800,630,,,,
2023-05-05T16:04:00+02:00,26,893,3093,4.11800,655,,,,
2023-05-06T08:44:53+02:00,27,880,3048,4.11700,700,,,,
2023-05-06T10:14:34+02:00,28,873,3024,4.11700,724,,,,
2023-05-06T10:44:29+02:00,29,864,2993,4.11700,755,,,,
2023-05-06T11:59:15+02:00,30,857,2969,4.11700,779,,,,
2023-05-06T12:59:05+02:00,31,850,2944,4.11700,804,,,,
2023-05-06T14:28:53+02:00,32,832,2882,4.11700,866,,,,
2023-05-06T15:13:44+02:00,33,823,2851,4.11700,897,,,,
2023-05-06T15:43:39+02:00,34,816,2827,4.11700,921,,,,
2023-05-06T16:28:29+02:00,35,807,2795,4.11800,953,,,,
2023-05-06T16:43:27+02:00,36,794,2750,4.11700,998,,,,
2023-05-07T09:54:13+02:00,37,784,2716,4.11500,1032,,,,
2023-05-07T10:54:01+02:00,38,776,2688,4.11500,1060,,,,
2023-05-07T12:08:50+02:00,39,767,2657,4.11700,1091,,,,
2023-05-07T17:37:31+02:00,40,760,2633,4.11700,1115,,,,
2023-05-08T11:33:10+02:00,41,751,2601,4.11500,1147,,,,
2023-05-08T13:17:52+02:00,42,743,2574,4.11500,1174,,,,
2023-05-08T17:46:51+02:00,43,735,2546,4.11500,1202,,,,
2023-05-08T19:46:19+02:00,44,722,2501,4.11500,1247,,,,
2023-05-09T10:42:34+02:00,45,730,2529,4.11500,1247,,,,
2023-05-09T11:27:27+02:00,46,738,2556,4.11500,1247,,,,
2023-05-09T11:57:22+02:00,47,748,2591,4.11500,1247,,,,
2023-05-09T12:42:19+02:00,48,757,2622,4.11300,1247,,,,
2023-05-09T13:12:15+02:00,49,766,2653,4.11300,1247,,,,
2023-05-09T13:42:10+02:00,50,778,2695,4.11300,1247,,,,
2023-05-09T14:12:05+02:00,51,794,2750,4.11500,1247,,,,
2023-05-09T14:42:00+02:00,52,804,2785,4.11500,1247,,,,
2023-05-09T14:57:02+02:00,53,811,2809,4.11300,1247,,,,
2023-05-09T15:26:58+02:00,54,820,2840,4.11300,1247,,,,
2023-05-09T15:41:56+02:00,55,827,2865,4.11300,1247,,,,
2023-05-09T16:26:46+02:00,56,839,2906,4.11500,1247,,,,
2023-05-09T16:41:45+02:00,57,853,2955,4.11300,1247,,,,
2023-05-09T16:56:45+02:00,58,866,3000,4.11200,1247,,,,
2023-05-09T17:11:43+02:00,59,875,3031,4.11300,1247,,,,
2023-05-09T17:26:41+02:00,60,884,3062,4.11300,1247,,,,
2023-05-09T17:41:42+02:00,61,892,3090,4.11300,1247,,,,
2023-05-09T18:26:33+02:00,62,900,3118,4.11300,1247,,,,
2023-05-09T18:56:42+02:00,63,904,3131,4.11300,1247,,,,
2023-05-09T19:41:33+02:00,64,911,3156,4.11300,1247,,,,
2023-05-09T23:40:35+02:00,65,928,3215,4.11300,1247,,,,
2023-05-10T00:40:22+02:00,66,936,3242,4.11300,1247,,,,
2023-05-10T01:10:17+02:00,67,945,3273,4.11200,1247,,,,
2023-05-10T04:09:34+02:00,68,952,3298,4.11200,1247,,,,
2023-05-10T11:37:47+02:00,69,927,3211,4.11200,1334,,,,
